epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0326,0,18.7951,0,0,0,0,0,0,8.08373,0,0.08416,0.00016,0.00016
2,64.3416,0,2.42164,0,0,0,0,0,0,2.5407,0,0.0673297,0.000329678,0.000329678
3,97.3223,0,1.03366,0,0,0,0,0,0,1.40379,0,0.050498,0.000498048,0.000498048
4,128.901,0,0.62873,0,0,0,0,0,0,0.94415,0,0.0336641,0.000664126,0.000664126
5,156.947,0,0.45774,0,0,0,0,0,0,0.69812,0,0.0168269,0.000826937,0.000826937
6,184.979,0,0.36559,0,0,0,0,0,0,0.58438,0,0.000975773,0.000975773,0.000975773
7,213.595,0,0.31049,0,0,0,0,0,0,0.48461,0,0.000965239,0.000965239,0.000965239
8,243.841,0,0.2721,0,0,0,0,0,0,0.42291,0,0.000952889,0.000952889,0.000952889
9,277.005,0,0.24305,0,0,0,0,0,0,0.3757,0,0.000938772,0.000938772,0.000938772
10,309.99,0,0.2198,0,0,0,0,0,0,0.34157,0,0.000922942,0.000922942,0.000922942
11,342.597,0,0.19993,0,0,0,0,0,0,0.29888,0,0.000905463,0.000905463,0.000905463
12,376.498,0,0.18073,0,0,0,0,0,0,0.27643,0,0.000886404,0.000886404,0.000886404
13,410.483,0,0.16321,0,0,0,0,0,0,0.23238,0,0.000865839,0.000865839,0.000865839
14,445.952,0,0.13279,0,0,0,0,0,0,0.19728,0,0.000843851,0.000843851,0.000843851
15,481.656,0,0.11443,0,0,0,0,0,0,0.15135,0,0.000820525,0.000820525,0.000820525
16,518.815,0,0.08796,0,0,0,0,0,0,0.13037,0,0.000795954,0.000795954,0.000795954
17,556.971,0,0.07815,0,0,0,0,0,0,0.12072,0,0.000770234,0.000770234,0.000770234
18,595.752,0,0.0687,0,0,0,0,0,0,0.10544,0,0.000743468,0.000743468,0.000743468
19,635.226,0,0.06066,0,0,0,0,0,0,0.08963,0,0.000715761,0.000715761,0.000715761
20,674.097,0,0.05491,0,0,0,0,0,0,0.08597,0,0.000687222,0.000687222,0.000687222
21,713.735,0,0.0504,0,0,0,0,0,0,0.07325,0,0.000657963,0.000657963,0.000657963
22,752.615,0,0.04458,0,0,0,0,0,0,0.07136,0,0.000628101,0.000628101,0.000628101
23,790.39,0,0.04215,0,0,0,0,0,0,0.0668,0,0.000597754,0.000597754,0.000597754
24,826.871,0,0.0406,0,0,0,0,0,0,0.06659,0,0.00056704,0.00056704,0.00056704
25,865.509,0,0.03681,0,0,0,0,0,0,0.05535,0,0.000536081,0.000536081,0.000536081
26,902.628,0,0.03246,0,0,0,0,0,0,0.05119,0,0.000505,0.000505,0.000505
27,938.245,0,0.03125,0,0,0,0,0,0,0.0495,0,0.000473919,0.000473919,0.000473919
28,975.004,0,0.02729,0,0,0,0,0,0,0.03857,0,0.00044296,0.00044296,0.00044296
29,1013.01,0,0.02416,0,0,0,0,0,0,0.03852,0,0.000412246,0.000412246,0.000412246
30,1051,0,0.02381,0,0,0,0,0,0,0.0383,0,0.000381899,0.000381899,0.000381899
31,1087.49,0,0.02301,0,0,0,0,0,0,0.03688,0,0.000352037,0.000352037,0.000352037
32,1124.95,0,0.02193,0,0,0,0,0,0,0.03532,0,0.000322778,0.000322778,0.000322778
33,1164.4,0,0.02069,0,0,0,0,0,0,0.03384,0,0.000294239,0.000294239,0.000294239
34,1201.7,0,0.02033,0,0,0,0,0,0,0.03395,0,0.000266532,0.000266532,0.000266532
35,1237.22,0,0.0203,0,0,0,0,0,0,0.03391,0,0.000239766,0.000239766,0.000239766
36,1274.12,0,0.0202,0,0,0,0,0,0,0.03375,0,0.000214046,0.000214046,0.000214046
37,1312.58,0,0.0201,0,0,0,0,0,0,0.03354,0,0.000189475,0.000189475,0.000189475
38,1351.01,0,0.02004,0,0,0,0,0,0,0.03348,0,0.000166149,0.000166149,0.000166149
39,1387.54,0,0.02003,0,0,0,0,0,0,0.03345,0,0.000144161,0.000144161,0.000144161
40,1424.39,0,0.02004,0,0,0,0,0,0,0.03344,0,0.000123596,0.000123596,0.000123596
41,1461.92,0,0.02009,0,0,0,0,0,0,0.03334,0,0.000104537,0.000104537,0.000104537
42,1496.83,0,0.02002,0,0,0,0,0,0,0.03333,0,8.70577e-05,8.70577e-05,8.70577e-05
43,1531.92,0,0.01996,0,0,0,0,0,0,0.03321,0,7.12282e-05,7.12282e-05,7.12282e-05
44,1568.4,0,0.01995,0,0,0,0,0,0,0.03321,0,5.71106e-05,5.71106e-05,5.71106e-05
45,1605.04,0,0.01993,0,0,0,0,0,0,0.03321,0,4.47606e-05,4.47606e-05,4.47606e-05
46,1640.47,0,0.01993,0,0,0,0,0,0,0.03321,0,3.4227e-05,3.4227e-05,3.4227e-05
47,1678.85,0,0.01993,0,0,0,0,0,0,0.0332,0,2.55513e-05,2.55513e-05,2.55513e-05
48,1714.9,0,0.01992,0,0,0,0,0,0,0.0332,0,1.87678e-05,1.87678e-05,1.87678e-05
49,1750.93,0,0.01992,0,0,0,0,0,0,0.0332,0,1.39032e-05,1.39032e-05,1.39032e-05
50,1786.62,0,0.01991,0,0,0,0,0,0,0.0332,0,1.09768e-05,1.09768e-05,1.09768e-05
